,lr1,lr2,wd1,wd2,sched,model_size,backbone,dataset,loss_function,model_type,ft_strategy
86,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,resnet50.a1_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
87,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,robust_vit_base_patch16_224,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
88,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.mae,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
89,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,vit_small_patch16_224.dino,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
90,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in22k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
91,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,robust_convnext_base,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
92,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
93,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in21k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
94,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_clip_224.laion2b,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
95,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,convnext_tiny.fb_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
96,3.690803219673014e-05,0.0028947634357865313,0.0032029975700290426,0.00378814552109712,True,1,robust_convnext_tiny,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
97,0.0003477264188160535,1.1036758972640384e-05,1.57476944267626e-06,0.00011897275088709404,False,1,robust_deit_small_patch16_224,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
98,9.613989345165609e-05,8.700690210600536e-05,0.00047751184301655973,0.0055227614309091245,True,1,vit_small_patch16_224.augreg_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
