backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),flowers-102
"vit_s,sup,ink22k-in1k",medium,fully attention,Classic AT,supervised (multistep),oxford-iiit-pet
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,uc-merced-land-use-dataset
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,stanford_cars
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,caltech101
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,fgvc-aircraft-2013b
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,flowers-102
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,oxford-iiit-pet
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,uc-merced-land-use-dataset
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,stanford_cars
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,caltech101
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,fgvc-aircraft-2013b
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,flowers-102
"deit_t,sup,in1k",small,fully attention,Classic AT,supervised,oxford-iiit-pet
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),uc-merced-land-use-dataset
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),stanford_cars
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),caltech101
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),fgvc-aircraft-2013b
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),flowers-102
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),oxford-iiit-pet
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),uc-merced-land-use-dataset
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),stanford_cars
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),caltech101
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),fgvc-aircraft-2013b
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),flowers-102
"convnext_b,clip,laion2b",large,fully convolutional,Classic AT,self-supervised (multimodal),oxford-iiit-pet
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),uc-merced-land-use-dataset
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),stanford_cars
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),caltech101
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),fgvc-aircraft-2013b
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),flowers-102
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),oxford-iiit-pet
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),uc-merced-land-use-dataset
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),stanford_cars
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),caltech101
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),fgvc-aircraft-2013b
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),flowers-102
"convnext_b,clip,laiona",large,fully convolutional,Classic AT,self-supervised (multimodal),oxford-iiit-pet
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,uc-merced-land-use-dataset
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,stanford_cars
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,caltech101
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,fgvc-aircraft-2013b
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,flowers-102
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,oxford-iiit-pet
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,uc-merced-land-use-dataset
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,stanford_cars
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,caltech101
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,fgvc-aircraft-2013b
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,flowers-102
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,Classic AT,fusion,oxford-iiit-pet
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),uc-merced-land-use-dataset
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),stanford_cars
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),caltech101
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),fgvc-aircraft-2013b
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),flowers-102
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),oxford-iiit-pet
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),uc-merced-land-use-dataset
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),stanford_cars
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),caltech101
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),fgvc-aircraft-2013b
