dataset,,,Aircraft,Aircraft,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,EuroSAT,EuroSAT,EuroSAT,EuroSAT,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,,,,,,,,,,,,,,,,,
robust_deit_small_patch16_224,TRADES_v2,0.0005,0.0218824940047961,0.0086930455635491,0.598198536485303,0.598198536485303,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.1033810143042913,0.0538036410923277,0.5905332251388231,0.5905332251388231
robust_deit_small_patch16_224,TRADES_v2,0.001,0.0248800959232613,0.0140887290167865,0.612034402435699,0.612034402435699,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.043075422626788,0.0191807542262678,0.5899980050107276,0.5899980050107276
robust_vit_base_patch16_224,APGD,0.0001,0.0155875299760191,0.0104916067146282,0.6089735555757367,0.6089735555757367,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0172301690507152,0.0097529258777633,0.6065150391919925,0.6065150391919925
robust_vit_base_patch16_224,APGD,0.0005,0.0128896882494004,0.0050959232613908,0.5944761179905361,0.5944761179905361,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.1058192457737321,0.0791612483745123,0.5970808076060726,0.5970808076060726
robust_vit_base_patch16_224,APGD,0.001,0.0113908872901678,0.000599520383693,0.6592905956586309,0.6592905956586309,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0814369310793238,0.0603055916775032,0.6115862754407088,0.6115862754407088
robust_vit_base_patch16_224,TRADES_v2,0.0001,0.0098920863309352,0.0077937649880095,0.6139590716166541,0.6139590716166541,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0121911573472041,0.0014629388816644,0.6231432255799856,0.6231432255799856
robust_vit_base_patch16_224,TRADES_v2,0.0005,0.0098920863309352,0.0098920863309352,0.6154340420526833,0.6154340420526833,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0169050715214564,0.0160923276983094,0.6312743875191713,0.6312743875191713
robust_vit_base_patch16_224,TRADES_v2,0.001,0.0098920863309352,0.0098920863309352,0.6536956095759116,0.6536956095759116,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0305591677503251,0.0261703511053316,0.6036790310264382,0.6036790310264382
robust_wideresnet_28_10,APGD,0.0001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0102405721716514,0.0066644993498049,0.0729309668562463,0.0729309668562463
robust_wideresnet_28_10,APGD,0.0005,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.010890767230169,0.0061768530559167,0.0618993920376544,0.0618993920376544
