backbone,ft_type,freeze_epochs,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id,nat_zero_mean,nat_dormant_mean,nat_overactive_mean,adv_zero_mean,adv_dormant_mean,adv_overactive_mean
convnext_base.fb_in22k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/50/32,0.0,0.0,579e58e6925e55b39ea3fb42a7a58a0e,0.0042930001871607,0.0646289537712895,0.038859255100131,0.0042930001871607,0.0646289537712895,0.038859255100131
robust_vit_base_patch16_224,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/51/36,0.071875,0.009375,ddd6587b3e5fbba131c04391ecf20459,0.1921241738030815,0.3235604257260245,0.066472600731982,0.1829256400436746,0.3088921296447587,0.0650220325297882
robust_convnext_base,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/58/40,0.0375,0.0,206468fd5696d5bec80642fdae6e8f85,0.0021289537712895,0.1640113232266516,0.0583122777465843,0.0016961444881152,0.1594024892382556,0.0578911660116039
vit_base_patch16_224.augreg_in1k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/02/59/09,0.634375,0.4125,5560601f76d3b1f56fb0e17234316df9,0.1251145902064508,0.1909723203914022,0.0531020349139989,0.1237283393911621,0.1891149340076684,0.0526882250469651
convnext_tiny.fb_in22k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/03/07/42,0.96875,0.478125,39b008f4859db523396592b618182504,0.0063308790718429,0.0720102632753235,0.0409694332887103,0.0063029897367246,0.0785921463632307,0.0428101294065149
convnext_tiny,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/03/08/27,0.90625,0.71875,5db6b7dfc2ab78ba6bed89ce6d35cfac,0.0029283801874163,0.0432563587684069,0.0338576528335564,0.002900490852298,0.0435910307898259,0.0339692101740294
vit_base_patch16_224.augreg_in21k,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/03/11/04,0.90625,0.70625,0ace9ac01012dd2c7a3568c33e48987e,0.2170917886830528,0.2918410151303134,0.0638458841584501,0.2153226168694653,0.2901152162453357,0.0638605253904359
robust_convnext_tiny,full_fine_tuning,10,Flowers,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.0001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/03/14/05,0.575,0.459375,785c3f8d6e530b0d4ec3df8bd09d14c2,0.0059404283801874,0.0754964301651048,0.0394355198572066,0.0060519857206604,0.0753012048192771,0.0392681838464971
wideresnet_28_10,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/20/55,0.075,0.0,e4b4fd25c10700c2bb6d3f4fc96eda04,0.0029190579853552,0.0969968335642192,0.0343607757767662,0.0028448446467445,0.0878933306946368,0.0323570156342766
robust_wideresnet_28_10,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/21/24,0.025,0.0,da33c6ef1855ee16c7a45cbca41b5651,0.0028695824262814,0.072926974074807,0.0304027310508608,0.0028695824262814,0.0741391252721155,0.0308727488620621
