,clean_acc,robust_acc,backbone,dataset,loss_function,zero_adv_train0,dormant_adv_train0,overactive_adv_train0,zero_adv_train5,dormant_adv_train5,overactive_adv_train5,zero_adv_val0,dormant_adv_val0,overactive_adv_val0,zero_adv_val5,dormant_adv_val5,overactive_adv_val5
94,0.356,0.216,robust_convnext_base,stanford_cars,TRADES_v2,0.019146557346501444,0.003447312028323861,0.024783378365787756,0.0192863132395416,0.0031212149445634958,0.022873381160905617,0.001083108171061213,0.003435665703903848,0.023793440790086648,0.0010365228733811608,0.0038782260318643434,0.026006242429889127
96,0.07533333333333334,0.04,robust_convnext_base,fgvc-aircraft-2013b,TRADES_v2,0.01918577445016378,0.00458586803930744,0.030416471689284044,0.019326158165652783,0.004071127749181095,0.029948525970987367,0.01368741226017782,0.006387459054749649,0.03176181562938699,0.013511932615816565,0.0054749649040711276,0.03192559663079083
97,0.45866666666666667,0.3413333333333333,robust_convnext_base,dtd,TRADES_v2,0.02040624853403387,0.0027208331378711825,0.024675141905521416,0.021016090444246377,0.0027208331378711825,0.028052727869775296,0.02112164000562931,0.003025754092977436,0.03017544682647652,0.02105127363137402,0.0028967490735094057,0.0251090678800957
98,0.45866666666666667,0.3413333333333333,robust_convnext_base,dtd,TRADES_v2,0.02040624853403387,0.0027208331378711825,0.024675141905521416,0.021016090444246377,0.0027208331378711825,0.028052727869775296,0.02112164000562931,0.003025754092977436,0.03017544682647652,0.02105127363137402,0.0028967490735094057,0.0251090678800957
99,0.45866666666666667,0.3413333333333333,robust_convnext_base,dtd,TRADES_v2,0.02040624853403387,0.0027208331378711825,0.024675141905521416,0.021016090444246377,0.0027208331378711825,0.028052727869775296,0.02112164000562931,0.003025754092977436,0.03017544682647652,0.02105127363137402,0.0028967490735094057,0.0251090678800957
100,0.45866666666666667,0.3413333333333333,robust_convnext_base,dtd,TRADES_v2,0.02040624853403387,0.0027208331378711825,0.024675141905521416,0.021016090444246377,0.0027208331378711825,0.028052727869775296,0.02112164000562931,0.003025754092977436,0.03017544682647652,0.02105127363137402,0.0028967490735094057,0.0251090678800957
101,0.428,0.33266666666666667,robust_convnext_base,flowers-102,TRADES_v2,0.01988583192962755,0.0036964252292719445,0.024939172749391728,0.021289537712895375,0.004023956578701104,0.02629608833988396,0.018938330525921768,0.0052054089462848585,0.028506924948530788,0.019113793748830245,0.0040590492232828,0.024997660490361222
104,0.21,0.14666666666666667,robust_convnext_base,fgvc-aircraft-2013b,CLASSIC_AT,0.02817033224145999,0.00458586803930744,0.031024801123069722,0.030978006551240056,0.006083294337856809,0.031633130556855404,0.02098736546560599,0.007861488067384183,0.037517547964436126,0.01896350023397286,0.005194197473093121,0.03173841834347216
105,0.49533333333333335,0.41133333333333333,robust_convnext_base,dtd,CLASSIC_AT,0.018623633719566542,0.0027208331378711825,0.024815874654031993,0.018717455551906927,0.001688792982126941,0.02256415067786274,0.017380494441056434,0.002556644931275508,0.028322465637753907,0.017157667589248016,0.0028967490735094057,0.025191161983393537
106,0.88,0.6446666666666667,convnext_base.clip_laion2b,stanford_cars,TRADES_v2,0.0034938973260039132,0.005077797447125687,0.0225006987794652,0.004006335600484487,0.007453647628808348,0.025342401937948383,0.003773409112084226,0.0091074256964502,0.02735721606261064,0.0035754215969440043,0.00497298052734557,0.02208143110034473
108,0.4653333333333333,0.17933333333333334,convnext_base.clip_laion2b,fgvc-aircraft-2013b,TRADES_v2,0.00837622835751053,0.0052877866167524564,0.022929340196537203,0.0069255966307908284,0.013523631258773983,0.037248479176415536,0.00657463734206832,0.014798783341132429,0.03970519419747309,0.0035329901731399158,0.0053813757604117924,0.022344408048666355
109,0.4653333333333333,0.17933333333333334,convnext_base.clip_laion2b,fgvc-aircraft-2013b,TRADES_v2,0.00837622835751053,0.0052877866167524564,0.022929340196537203,0.0069255966307908284,0.013523631258773983,0.037248479176415536,0.00657463734206832,0.014798783341132429,0.03970519419747309,0.0035329901731399158,0.0053813757604117924,0.022344408048666355
