backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"edgenetx_s,sup,in1k",small,hybrid,TRADES,supervised,stanford_cars,0.6133333333333333,0.216,0.267,0.073,0.468
"coat_t,sup,in1k",small,hybrid,TRADES,supervised,stanford_cars,0.684,0.309,0.283,0.039,0.5573333333333333
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),caltech101,0.952,0.8093333333333333,0.856,0.794,0.85
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),caltech101,0.937,0.806,0.8546666666666667,0.803,0.844
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,caltech101,0.895,0.705,0.783,0.735,0.798
"resnet50,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),caltech101,0.958,0.832,0.611,0.148,0.824
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,caltech101,0.83,0.002,0.0,0.044,0.682
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,caltech101,0.958,0.812,0.871,0.838,0.856
"resnet50,sup,in1k",medium,fully convolutional,TRADES,supervised,caltech101,0.901,0.171,0.4106666666666667,0.6213333333333333,0.752
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),caltech101,0.943,0.814,0.855,0.755,0.884
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,caltech101,0.914,0.759,0.6,0.155,0.8
"vit_b,dino,in1k",medium,fully attention,TRADES,self-supervised,caltech101,0.714,0.474,0.552,0.546,0.572
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,caltech101,0.959,0.841,0.888,0.86,0.854
"convnext_b,rob-sup,in1k",large,fully convolutional,TRADES,supervised (robust),caltech101,0.964,0.878,0.892,0.748,0.91
"vit_b,sup,in1k",large,fully attention,TRADES,supervised,caltech101,0.901,0.691,0.748,0.7173333333333334,0.804
"vit_b,sup,in22k",large,fully attention,TRADES,supervised,caltech101,0.894,0.737,0.802,0.733,0.81
"vit_b,clip,laion2b",large,fully attention,TRADES,self-supervised (multimodal),caltech101,0.921,0.765,0.829,0.7573333333333333,0.824
"convnext_t,sup,in1k",medium,fully convolutional,TRADES,supervised,caltech101,0.929,0.778,0.85,0.822,0.846
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),caltech101,0.967,0.899,0.844,0.5866666666666667,0.896
