dataset,target,surrogate,perturbation,accuracy
stanford_cars,Gemini Flash (no think),MetaCLIP H/14,l2@8,91.3
stanford_cars,Gemini Flash (no think),MetaCLIP H/14,linf@30,79.7
stanford_cars,Gemini Flash (no think),MetaCLIP H/14,linf@8,92.5
stanford_cars,Gemini Flash (no think),SigLIP2 base,linf@30,94.2
stanford_cars,Gemini Flash (no think),n/a (clean),clean,93.9
stanford_cars,Gemini Flash (no think),n/a (common),sev@3,76.5
uc-merced-land-use-dataset,GPT-4o,CLIP B/16,l1@300,76.19
uc-merced-land-use-dataset,GPT-4o,CLIP B/16,l1@75,77.62
uc-merced-land-use-dataset,GPT-4o,CLIP B/16,l2@2,76.43
uc-merced-land-use-dataset,GPT-4o,CLIP B/16,l2@8,71.19
uc-merced-land-use-dataset,GPT-4o,CLIP B/16,linf@30,54.05
uc-merced-land-use-dataset,GPT-4o,CLIP B/16,linf@8,75.0
uc-merced-land-use-dataset,GPT-4o,CLIP H/14,l1@300,75.25
uc-merced-land-use-dataset,GPT-4o,CLIP H/14,l1@75,77.62
uc-merced-land-use-dataset,GPT-4o,CLIP H/14,l2@2,75.71
uc-merced-land-use-dataset,GPT-4o,CLIP H/14,l2@8,60.0
uc-merced-land-use-dataset,GPT-4o,CLIP H/14,linf@30,36.43
uc-merced-land-use-dataset,GPT-4o,CLIP H/14,linf@8,70.0
uc-merced-land-use-dataset,GPT-4o,MetaCLIP H/14,l1@300,73.1
uc-merced-land-use-dataset,GPT-4o,MetaCLIP H/14,l1@75,76.19
uc-merced-land-use-dataset,GPT-4o,MetaCLIP H/14,l2@2,75.48
uc-merced-land-use-dataset,GPT-4o,MetaCLIP H/14,l2@8,62.62
uc-merced-land-use-dataset,GPT-4o,MetaCLIP H/14,linf@30,38.33
uc-merced-land-use-dataset,GPT-4o,MetaCLIP H/14,linf@8,69.29
uc-merced-land-use-dataset,GPT-4o,SigLIP2 NaFlex,linf@30,76.9
uc-merced-land-use-dataset,GPT-4o,SigLIP2 SO400M,linf@30,29.43
uc-merced-land-use-dataset,GPT-4o,SigLIP2 base,linf@30,47.86
uc-merced-land-use-dataset,GPT-4o,SigLIP2 base,linf@8,72.38
uc-merced-land-use-dataset,GPT-4o,n/a (clean),clean,77.62
uc-merced-land-use-dataset,GPT-4o,n/a (common),sev@3,62.62
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP B/16,l1@300,88.33
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP B/16,l1@75,89.29
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP B/16,l2@2,90.0
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP B/16,l2@8,79.76
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP B/16,linf@30,64.76
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP B/16,linf@8,85.0
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP H/14,l1@300,89.05
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP H/14,l1@75,89.76
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP H/14,l2@2,88.33
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP H/14,l2@8,78.33
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP H/14,linf@30,50.95
uc-merced-land-use-dataset,Gemini Flash (no think),CLIP H/14,linf@8,85.24
uc-merced-land-use-dataset,Gemini Flash (no think),MetaCLIP H/14,l1@300,86.43
uc-merced-land-use-dataset,Gemini Flash (no think),MetaCLIP H/14,l1@75,90.24
uc-merced-land-use-dataset,Gemini Flash (no think),MetaCLIP H/14,l2@2,88.81
uc-merced-land-use-dataset,Gemini Flash (no think),MetaCLIP H/14,l2@8,80.48
uc-merced-land-use-dataset,Gemini Flash (no think),MetaCLIP H/14,linf@30,52.62
uc-merced-land-use-dataset,Gemini Flash (no think),MetaCLIP H/14,linf@8,83.33
uc-merced-land-use-dataset,Gemini Flash (no think),SigLIP2 NaFlex,linf@30,88.81
uc-merced-land-use-dataset,Gemini Flash (no think),SigLIP2 SO400M,linf@30,35.48
uc-merced-land-use-dataset,Gemini Flash (no think),SigLIP2 base,linf@30,58.81
uc-merced-land-use-dataset,Gemini Flash (no think),SigLIP2 base,linf@8,86.9
uc-merced-land-use-dataset,Gemini Flash (no think),n/a (clean),clean,90.71
uc-merced-land-use-dataset,Gemini Flash (no think),n/a (common),sev@3,72.38
